encoded_destination_id,destination_movement_id,destination_display_name
1278,4540,101015 (4540)
1279,4541,100996 (4541)
1280,4543,100985 (4543)
1281,4544,406333 (4544)
1282,4545,100992 (4545)
1283,4547,406271 (4547)
1284,4548,100995 (4548)
1285,4550,101273 (4550)
1286,4551,101013 (4551)
1287,4557,101016 (4557)
1288,4562,101053 (4562)
1289,4571,101018 (4571)
1290,4572,101023 (4572)
1291,4573,101012 (4573)
1292,4575,100993 (4575)
1293,4576,101022 (4576)
1294,4577,100994 (4577)
1295,4578,101017 (4578)
1296,4580,101024 (4580)
1297,4585,101025 (4585)
1298,4591,406252 (4591)
1299,4592,201344 (4592)
1300,4593,201343 (4593)
1301,4594,201342 (4594)
1302,4595,201341 (4595)
1303,4596,201353 (4596)
1304,4597,201295 (4597)
1305,4598,201293 (4598)
1306,4599,201285 (4599)
1307,4600,201286 (4600)
1308,4601,201281 (4601)
1309,4602,201282 (4602)
1310,4603,201334 (4603)
1311,4604,201331 (4604)
1312,4605,201333 (4605)
1313,4608,201332 (4608)
1314,4623,201283 (4623)
1315,4630,201291 (4630)
1316,4631,201284 (4631)
1317,4633,201335 (4633)
1318,4634,406241 (4634)
1319,4637,406171 (4637)
1320,4639,406172 (4639)
1321,4640,406164 (4640)
1322,4644,405332 (4644)
1323,4646,201321 (4646)
1324,4648,201311 (4648)
1325,4653,405863 (4653)
1326,4656,405301 (4656)
1327,4662,201292 (4662)
1328,4663,201322 (4663)
1329,4665,405262 (4665)
1330,4668,405263 (4668)
1331,4669,406270 (4669)
1332,4670,406272 (4670)
1333,4676,405321 (4676)
1334,4679,201301 (4679)
1335,4682,201305 (4682)
1336,4683,201309 (4683)
1337,4697,406242 (4697)
1338,4699,406282 (4699)
1339,4700,406250 (4700)
1340,4701,406243 (4701)
1341,4705,201336 (4705)
1342,4710,201306 (4710)
1343,4712,201315 (4712)
1344,4713,406151 (4713)
1345,4714,201312 (4714)
1346,4716,406210 (4716)
1347,4728,201337 (4728)
1348,4730,201373 (4730)
1349,4732,201314 (4732)
1350,4733,201371 (4733)
1351,4734,406140 (4734)
1352,4736,201361 (4736)
1353,4756,201308 (4756)
1354,4762,406095 (4762)
1355,4764,406131 (4764)
1356,4765,406133 (4765)
1357,4767,201313 (4767)
1358,4768,406130 (4768)
1359,4769,406112 (4769)
1360,4770,406273 (4770)
1361,4771,406110 (4771)
1362,4773,201307 (4773)
1363,4775,201372 (4775)
1364,4780,201381 (4780)
1365,4784,201352 (4784)
1366,4788,201383 (4788)
1367,4791,406056 (4791)
1368,4794,201302 (4794)
1369,4795,201362 (4795)
1370,4796,201351 (4796)
1371,4803,406101 (4803)
1372,4807,201471 (4807)
1373,4811,406057 (4811)
1374,4813,201382 (4813)
1375,4816,201303 (4816)
1376,4817,201393 (4817)
1377,4819,201363 (4819)
1378,4850,406052 (4850)
1379,4852,201436 (4852)
1380,4860,406061 (4860)
1381,4870,201392 (4870)
1382,4871,201391 (4871)
1383,4890,405961 (4890)
1384,4894,201463 (4894)
1385,4895,201441 (4895)
1386,4900,201394 (4900)
1387,4904,201461 (4904)
1388,4905,201451 (4905)
1389,4906,201501 (4906)
1390,4912,201433 (4912)
1391,4923,201474 (4923)
1392,4928,405954 (4928)
1393,4929,405970 (4929)
1394,4930,201443 (4930)
